"","area_data_type","GEOID","county","state","total_units","biz_res","speed_02_02","speed_10_1","speed_25_3","speed_100_20","speed_250_25","speed_1000_100"
"1857","Total","20079","Harvey","KS",16537,"R",1,1,1,1,1,0.96450384
"1858","Total","20079","Harvey","KS",16537,"B",1,1,1,1,1,0.960754671
"1859","Total","20081","Haskell","KS",1934,"R",1,1,1,1,1,0.896587384
"1860","Total","20081","Haskell","KS",1934,"B",1,1,1,1,1,0.897104447
"1861","Total","20083","Hodgeman","KS",1290,"R",1,1,1,1,1,0.758139535
"1862","Total","20083","Hodgeman","KS",1290,"B",1,1,1,1,1,0.758914729
"1863","Total","20085","Jackson","KS",6845,"R",1,1,1,0.999707816,0.999707816,0.536742148
"1864","Total","20085","Jackson","KS",6845,"B",1,1,1,0.999707816,0.999707816,0.536742148
"1865","Total","20087","Jefferson","KS",9226,"R",1,1,1,0.999566443,0.999349664,0.329178409
"1866","Total","20087","Jefferson","KS",9226,"B",1,1,1,0.999458053,0.999349664,0.282245827
"1867","Total","20089","Jewell","KS",2631,"R",1,1,1,1,1,0.889015583
"1868","Total","20089","Jewell","KS",2631,"B",1,1,1,1,1,0.889015583
"1869","Total","20091","Johnson","KS",288970,"R",1,1,1,0.999996539,0.999996539,0.978911306
"1870","Total","20091","Johnson","KS",288970,"B",1,1,1,0.999996539,0.999996539,0.975045853
"1871","Total","20093","Kearny","KS",1816,"R",1,1,1,1,1,0.818832599
"1872","Total","20093","Kearny","KS",1816,"B",1,1,1,1,1,0.818832599
"1873","Total","20095","Kingman","KS",4538,"R",1,1,1,1,1,0.633098281
"1874","Total","20095","Kingman","KS",4538,"B",1,1,1,1,1,0.633098281
"1875","Total","20097","Kiowa","KS",1527,"R",1,1,1,1,1,0.794368042
"1876","Total","20097","Kiowa","KS",1527,"B",1,1,1,1,1,0.794368042
"1877","Total","20099","Labette","KS",11213,"R",1,1,1,1,1,0.484348524
"1878","Total","20099","Labette","KS",11213,"B",1,1,1,1,1,0.484259342
"1879","Total","20101","Lane","KS",1282,"R",1,1,1,1,1,0.997659906
"1880","Total","20101","Lane","KS",1282,"B",1,1,1,1,1,0.997659906
"1881","Total","20103","Leavenworth","KS",34643,"R",1,1,1,0.999942268,0.999942268,0.590566637
"1882","Total","20103","Leavenworth","KS",34643,"B",1,1,1,0.999942268,0.999942268,0.596455272
"1883","Total","20105","Lincoln","KS",2290,"R",1,1,1,1,1,0.722707424
"1884","Total","20105","Lincoln","KS",2290,"B",1,1,1,1,1,0.722707424
"1885","Total","20107","Linn","KS",6486,"R",1,1,1,1,1,0.66204132
"1886","Total","20107","Linn","KS",6486,"B",1,1,1,1,1,0.66204132
"1887","Total","20109","Logan","KS",1756,"R",1,1,1,1,1,0.87642369
"1888","Total","20109","Logan","KS",1756,"B",1,1,1,1,1,0.87642369
"1889","Total","20111","Lyon","KS",17145,"R",1,1,1,1,1,0.875590551
"1890","Total","20111","Lyon","KS",17145,"B",1,1,1,1,1,0.881248177
"1891","Total","20113","McPherson","KS",15213,"R",1,1,1,1,1,0.867416026
"1892","Total","20113","McPherson","KS",15213,"B",1,1,1,1,1,0.848221915
"1893","Total","20115","Marion","KS",6970,"R",1,1,1,1,1,0.816212339
"1894","Total","20115","Marion","KS",6970,"B",1,1,1,1,1,0.816212339
"1895","Total","20117","Marshall","KS",6094,"R",1,1,1,1,1,0.810141122
"1896","Total","20117","Marshall","KS",6094,"B",1,1,1,1,1,0.810141122
"1897","Total","20119","Meade","KS",2433,"R",1,1,1,1,1,0.733662145
"1898","Total","20119","Meade","KS",2433,"B",1,1,1,1,1,0.723386765
"1899","Total","20121","Miami","KS",15921,"R",1,1,1,0.99987438,0.99981157,0.696752717
"1900","Total","20121","Miami","KS",15921,"B",1,1,1,0.99981157,0.99981157,0.696878337
"1901","Total","20123","Mitchell","KS",4125,"R",1,1,1,1,1,0.918787879
"1902","Total","20123","Mitchell","KS",4125,"B",1,1,1,1,1,0.918787879
"1903","Total","20125","Montgomery","KS",17819,"R",1,1,1,0.99994388,0.99994388,0.310847971
"1904","Total","20125","Montgomery","KS",17819,"B",1,1,1,0.99994388,0.99994388,0.311802009
"1905","Total","20127","Morris","KS",3781,"R",1,1,1,1,1,0.945781539
"1906","Total","20127","Morris","KS",3781,"B",1,1,1,1,1,0.945781539
"1907","Total","20129","Morton","KS",1644,"R",1,1,1,1,1,0.167883212
"1908","Total","20129","Morton","KS",1644,"B",1,1,1,1,1,0.167883212
"1909","Total","20131","Nemaha","KS",5791,"R",1,1,1,0.999827318,0.999827318,0.667069591
"1910","Total","20131","Nemaha","KS",5791,"B",1,1,1,0.999827318,0.999827318,0.667069591
"1911","Total","20133","Neosho","KS",8496,"R",1,1,1,1,1,0.608286252
"1912","Total","20133","Neosho","KS",8496,"B",1,1,1,1,1,0.249293785
"1913","Total","20135","Ness","KS",2532,"R",1,1,1,1,1,1
"1914","Total","20135","Ness","KS",2532,"B",1,1,1,1,1,1
"1915","Total","20137","Norton","KS",3349,"R",1,1,1,1,1,0.876679606
"1916","Total","20137","Norton","KS",3349,"B",1,1,1,1,1,0.876679606
"1917","Total","20139","Osage","KS",8597,"R",1,1,1,0.999767361,0.999767361,0.458881005
"1918","Total","20139","Osage","KS",8597,"B",1,1,1,0.999767361,0.999767361,0.343026637
"1919","Total","20141","Osborne","KS",2972,"R",1,1,1,1,1,1
"1920","Total","20141","Osborne","KS",2972,"B",1,1,1,1,1,1
"1921","Total","20143","Ottawa","KS",3477,"R",1,1,1,1,1,0.500719011
"1922","Total","20143","Ottawa","KS",3477,"B",1,1,1,1,1,0.500719011
"1923","Total","20145","Pawnee","KS",3711,"R",1,1,1,1,1,0.997844247
"1924","Total","20145","Pawnee","KS",3711,"B",1,1,1,1,1,0.997844247
"1925","Total","20147","Phillips","KS",3662,"R",1,1,1,1,1,0.898962316
"1926","Total","20147","Phillips","KS",3662,"B",1,1,1,1,1,0.898962316
"1927","Total","20149","Pottawatomie","KS",11944,"R",1,1,1,1,1,0.979320161
"1928","Total","20149","Pottawatomie","KS",11944,"B",1,1,1,1,1,0.971533825
"1929","Total","20151","Pratt","KS",5424,"R",1,1,1,1,1,0.87850295
"1930","Total","20151","Pratt","KS",5424,"B",1,1,1,1,1,0.845317109
"1931","Total","20153","Rawlins","KS",1984,"R",1,1,1,1,1,0.875
"1932","Total","20153","Rawlins","KS",1984,"B",1,1,1,1,1,0.875
"1933","Total","20155","Reno","KS",31284,"R",1,1,1,1,1,0.949399054
"1934","Total","20155","Reno","KS",31284,"B",1,1,1,1,1,0.918264928
"1935","Total","20157","Republic","KS",3697,"R",1,1,1,1,1,0.770624831
"1936","Total","20157","Republic","KS",3697,"B",1,1,1,1,1,0.770624831
"1937","Total","20159","Rice","KS",5354,"R",1,1,1,1,1,0.864400448
"1938","Total","20159","Rice","KS",5354,"B",1,1,1,1,1,0.785020545
"1939","Total","20161","Riley","KS",33493,"R",1,1,1,0.999970143,0.999970143,0.928193951
"1940","Total","20161","Riley","KS",33493,"B",1,1,0.999970143,0.999970143,0.999970143,0.749529752
"1941","Total","20163","Rooks","KS",3528,"R",1,1,1,1,1,0.919501134
"1942","Total","20163","Rooks","KS",3528,"B",1,1,1,1,1,0.919501134
"1943","Total","20165","Rush","KS",2477,"R",1,1,1,1,1,0.944691159
"1944","Total","20165","Rush","KS",2477,"B",1,1,1,1,1,0.944691159
"1945","Total","20167","Russell","KS",4798,"R",1,1,1,1,1,0.99979158
"1946","Total","20167","Russell","KS",4798,"B",1,1,1,1,1,0.99979158
"1947","Total","20169","Saline","KS",26914,"R",1,1,1,1,1,0.923645686
"1948","Total","20169","Saline","KS",26914,"B",1,1,1,1,1,0.937950509
"1949","Total","20171","Scott","KS",2715,"R",1,1,1,1,1,0.853775322
"1950","Total","20171","Scott","KS",2715,"B",1,1,1,1,1,0.854143646
"1951","Total","20173","Sedgwick","KS",258963,"R",1,1,1,1,0.999996138,0.921834393
"1952","Total","20173","Sedgwick","KS",258963,"B",1,1,1,1,0.999996138,0.826438526
"1953","Total","20175","Seward","KS",9799,"R",1,1,1,1,1,0.81743035
"1954","Total","20175","Seward","KS",9799,"B",1,1,1,1,1,0.816920094
"1955","Total","20177","Shawnee","KS",89750,"R",1,1,1,0.999933148,0.999899721,0.717749304
"1956","Total","20177","Shawnee","KS",89750,"B",1,1,0.999988858,0.999899721,0.999888579,0.525637883
"1957","Total","20179","Sheridan","KS",1677,"R",1,1,1,1,1,0.853309481
"1958","Total","20179","Sheridan","KS",1677,"B",1,1,1,1,1,0.853309481
"1959","Total","20181","Sherman","KS",3711,"R",1,1,1,1,1,0.86445702
"1960","Total","20181","Sherman","KS",3711,"B",1,1,1,1,1,0.86445702
"1961","Total","20183","Smith","KS",3002,"R",1,1,1,1,1,0.945369753
"1962","Total","20183","Smith","KS",3002,"B",1,1,1,1,1,0.946702199
"1963","Total","20185","Stafford","KS",2802,"R",1,1,1,1,1,0.725910064
"1964","Total","20185","Stafford","KS",2802,"B",1,1,1,1,1,0.725910064
"1965","Total","20187","Stanton","KS",1133,"R",1,1,1,1,1,0.796116505
"1966","Total","20187","Stanton","KS",1133,"B",1,1,1,1,1,0.796116505
"1967","Total","20189","Stevens","KS",2653,"R",1,1,1,1,1,0.803995477
"1968","Total","20189","Stevens","KS",2653,"B",1,1,1,1,1,0.803995477
"1969","Total","20191","Sumner","KS",12454,"R",1,1,1,0.999919705,0.999919705,0.934318291
"1970","Total","20191","Sumner","KS",12454,"B",1,1,1,0.999919705,0.999919705,0.934318291
"1971","Total","20193","Thomas","KS",4702,"R",1,1,1,1,1,0.909612931
"1972","Total","20193","Thomas","KS",4702,"B",1,1,1,1,1,0.909612931
"1973","Total","20195","Trego","KS",2359,"R",1,1,1,1,1,1
"1974","Total","20195","Trego","KS",2359,"B",1,1,1,1,1,1
"1975","Total","20197","Wabaunsee","KS",3954,"R",1,1,1,0.999494183,0.999241275,0.544511887
"1976","Total","20197","Wabaunsee","KS",3954,"B",1,1,1,0.999241275,0.999241275,0.544511887
"1977","Total","20199","Wallace","KS",1019,"R",1,1,1,1,1,0.235525025
"1978","Total","20199","Wallace","KS",1019,"B",1,1,1,1,1,0.235525025
"1979","Total","20201","Washington","KS",4025,"R",1,1,1,1,1,0.68
"1980","Total","20201","Washington","KS",4025,"B",1,1,1,1,1,0.68
"1981","Total","20203","Wichita","KS",1227,"R",1,1,1,1,1,0.667481663
"1982","Total","20203","Wichita","KS",1227,"B",1,1,1,1,1,0.668296659
"1983","Total","20205","Wilson","KS",5150,"R",1,1,1,1,1,0.609902913
"1984","Total","20205","Wilson","KS",5150,"B",1,1,1,1,1,0.609902913
"1985","Total","20207","Woodson","KS",2185,"R",1,1,1,1,1,0.001830664
"1986","Total","20207","Woodson","KS",2185,"B",1,1,1,1,1,0.004576659
"1987","Total","20209","Wyandotte","KS",76159,"R",1,1,1,1,1,0.853293767
"1988","Total","20209","Wyandotte","KS",76159,"B",1,1,1,1,1,0.321971139
"1989","Total","21001","Adair","KY",10216,"R",1,1,1,1,1,0.735806578
"1990","Total","21001","Adair","KY",10216,"B",1,1,1,1,1,0.735806578
"1991","Total","21003","Allen","KY",10277,"R",1,1,1,1,1,0.990853362
"1992","Total","21003","Allen","KY",10277,"B",1,1,1,1,1,0.990853362
"1993","Total","21005","Anderson","KY",11473,"R",1,1,1,1,1,0.821842587
"1994","Total","21005","Anderson","KY",11473,"B",1,1,1,1,1,0.838751852
"1995","Total","21007","Ballard","KY",4428,"R",1,1,1,1,1,1
"1996","Total","21007","Ballard","KY",4428,"B",1,1,1,1,1,1
"1997","Total","21009","Barren","KY",22469,"R",1,1,1,1,1,0.897191686
"1998","Total","21009","Barren","KY",22469,"B",1,1,1,1,1,0.897191686
"1999","Total","21011","Bath","KY",6113,"R",1,1,1,1,1,0.760837559
"2000","Total","21011","Bath","KY",6113,"B",1,1,1,1,1,0.763782104
"2001","Total","21013","Bell","KY",13766,"R",1,1,1,1,1,0.883698968
"2002","Total","21013","Bell","KY",13766,"B",1,1,1,1,1,0.929318611
"2003","Total","21015","Boone","KY",60289,"R",1,1,1,1,1,0.981555508
"2004","Total","21015","Boone","KY",60289,"B",1,1,1,1,1,0.986199804
"2005","Total","21017","Bourbon","KY",10170,"R",1,1,1,1,1,0.850344149
"2006","Total","21017","Bourbon","KY",10170,"B",1,1,1,1,1,0.865585054
"2007","Total","21019","Boyd","KY",23645,"R",1,1,1,1,1,0.794163671
"2008","Total","21019","Boyd","KY",23645,"B",1,1,1,1,1,0.796954959
"2009","Total","21021","Boyle","KY",14431,"R",1,1,1,1,1,0.848520546
"2010","Total","21021","Boyle","KY",14431,"B",1,1,1,1,1,0.887187305
"2011","Total","21023","Bracken","KY",4510,"R",1,1,1,1,1,0.210421286
"2012","Total","21023","Bracken","KY",4510,"B",1,1,1,1,1,0.210421286
"2013","Total","21025","Breathitt","KY",7403,"R",1,1,1,1,1,0.770768607
"2014","Total","21025","Breathitt","KY",7403,"B",1,1,1,1,1,0.770768607
"2015","Total","21027","Breckinridge","KY",13342,"R",1,1,1,0.999625244,0.999625244,0.831059811
"2016","Total","21027","Breckinridge","KY",13342,"B",1,1,1,0.999625244,0.999625244,0.831059811
"2017","Total","21029","Bullitt","KY",36886,"R",1,1,1,1,1,0.943772705
"2018","Total","21029","Bullitt","KY",36886,"B",1,1,1,1,1,0.954616928
"2019","Total","21031","Butler","KY",6359,"R",1,1,1,1,1,0.967133197
"2020","Total","21031","Butler","KY",6359,"B",1,1,1,1,1,0.970750118
"2021","Total","21033","Caldwell","KY",6835,"R",1,1,1,0.999707388,0.999707388,0.12304316
"2022","Total","21033","Caldwell","KY",6835,"B",1,1,1,0.999707388,0.999707388,0.014923189
"2023","Total","21035","Calloway","KY",21392,"R",1,1,1,1,1,0.611116305
"2024","Total","21035","Calloway","KY",21392,"B",1,1,1,1,1,0.659592371
"2025","Total","21037","Campbell","KY",46880,"R",1,1,1,1,1,0.987457338
"2026","Total","21037","Campbell","KY",46880,"B",1,1,1,1,1,0.994112628
"2027","Total","21039","Carlisle","KY",2753,"R",1,1,1,1,1,0.824191791
"2028","Total","21039","Carlisle","KY",2753,"B",1,1,1,1,1,0.824191791
"2029","Total","21041","Carroll","KY",5541,"R",1,1,1,1,1,0.743367623
"2030","Total","21041","Carroll","KY",5541,"B",1,1,1,1,1,0.788124887
"2031","Total","21043","Carter","KY",13758,"R",1,1,1,1,1,0.537214711
"2032","Total","21043","Carter","KY",13758,"B",1,1,1,1,1,0.54433784
"2033","Total","21045","Casey","KY",8923,"R",1,1,1,1,1,0.539728791
"2034","Total","21045","Casey","KY",8923,"B",1,1,1,1,1,0.54174605
"2035","Total","21047","Christian","KY",31749,"R",1,1,1,1,1,0.79186746
"2036","Total","21047","Christian","KY",31749,"B",1,1,1,1,1,0.441557214
"2037","Total","21049","Clark","KY",18757,"R",1,1,1,0.999893373,0.999893373,0.892360186
"2038","Total","21049","Clark","KY",18757,"B",1,1,1,0.999893373,0.999893373,0.913738871
"2039","Total","21051","Clay","KY",10458,"R",1,1,1,1,1,0.871868426
"2040","Total","21051","Clay","KY",10458,"B",1,1,1,1,1,0.874641423
"2041","Total","21053","Clinton","KY",6274,"R",1,1,1,1,1,0.427478483
"2042","Total","21053","Clinton","KY",6274,"B",1,1,1,1,1,0.427478483
"2043","Total","21055","Crittenden","KY",5197,"R",1,1,1,1,1,0.103521262
"2044","Total","21055","Crittenden","KY",5197,"B",1,1,1,1,1,0.103521262
"2045","Total","21057","Cumberland","KY",5807,"R",1,1,1,1,1,0.791286379
"2046","Total","21057","Cumberland","KY",5807,"B",1,1,1,1,1,0.791286379
"2047","Total","21059","Daviess","KY",50929,"R",1,1,1,1,1,0.903100395
"2048","Total","21059","Daviess","KY",50929,"B",1,1,1,1,1,0.978813643
"2049","Total","21061","Edmonson","KY",7386,"R",1,1,1,1,1,0.754400217
"2050","Total","21061","Edmonson","KY",7386,"B",1,1,1,1,1,0.754400217
"2051","Total","21063","Elliott","KY",3641,"R",1,1,1,1,1,1
"2052","Total","21063","Elliott","KY",3641,"B",1,1,1,1,1,1
"2053","Total","21065","Estill","KY",8301,"R",1,1,1,1,1,0.785206602
"2054","Total","21065","Estill","KY",8301,"B",1,1,1,1,1,0.605348753
"2055","Total","21067","Fayette","KY",163300,"R",1,1,1,0.999987753,0.999987753,0.985823637
"2056","Total","21067","Fayette","KY",163300,"B",1,1,1,0.999987753,0.999987753,0.988769137
"2057","Total","21069","Fleming","KY",7999,"R",1,1,1,1,1,0.605450681
"2058","Total","21069","Fleming","KY",7999,"B",1,1,1,1,1,0.621327666
"2059","Total","21071","Floyd","KY",19274,"R",1,1,1,1,1,0.137075853
"2060","Total","21071","Floyd","KY",19274,"B",1,1,1,1,1,0.137075853
"2061","Total","21073","Franklin","KY",27677,"R",1,1,1,1,1,0.906420494
"2062","Total","21073","Franklin","KY",27677,"B",1,1,1,1,1,0.923185316
"2063","Total","21075","Fulton","KY",3647,"R",1,1,1,1,1,0.536331231
"2064","Total","21075","Fulton","KY",3647,"B",1,1,1,1,1,0.54867014
"2065","Total","21077","Gallatin","KY",4284,"R",1,1,1,1,1,0.873482726
"2066","Total","21077","Gallatin","KY",4284,"B",1,1,1,1,1,0.704715219
"2067","Total","21079","Garrard","KY",8762,"R",1,1,1,0.999201096,0.999201096,0.574526364
"2068","Total","21079","Garrard","KY",8762,"B",1,1,1,0.999201096,0.999201096,0.57646656
"2069","Total","21081","Grant","KY",11349,"R",1,1,1,1,1,0.901401004
"2070","Total","21081","Grant","KY",11349,"B",1,1,1,1,1,0.73768614
"2071","Total","21083","Graves","KY",18531,"R",1,1,1,1,1,0.901948087
"2072","Total","21083","Graves","KY",18531,"B",1,1,1,1,1,0.909395068
"2073","Total","21085","Grayson","KY",17199,"R",1,1,1,1,1,0.757951044
"2074","Total","21085","Grayson","KY",17199,"B",1,1,1,1,1,0.757951044
"2075","Total","21087","Green","KY",5911,"R",1,1,1,1,1,0.585518525
"2076","Total","21087","Green","KY",5911,"B",1,1,1,1,1,0.590255456
"2077","Total","21089","Greenup","KY",17679,"R",1,1,1,0.999886871,0.999886871,0.605520674
"2078","Total","21089","Greenup","KY",17679,"B",1,1,1,0.999886871,0.999886871,0.611063974
"2079","Total","21091","Hancock","KY",4581,"R",1,1,1,1,1,0.966601179
"2080","Total","21091","Hancock","KY",4581,"B",1,1,1,1,1,0.966601179
"2081","Total","21093","Hardin","KY",57098,"R",1,1,1,1,1,0.846001611
"2082","Total","21093","Hardin","KY",57098,"B",1,1,1,1,1,0.846667134
"2083","Total","21095","Harlan","KY",14876,"R",1,1,1,1,1,0.849354665
"2084","Total","21095","Harlan","KY",14876,"B",1,1,1,1,1,0.373554719
"2085","Total","21097","Harrison","KY",10205,"R",1,1,1,1,0.999510044,0.479960804
"2086","Total","21097","Harrison","KY",10205,"B",1,1,1,1,0.999510044,0.500048996
"2087","Total","21099","Hart","KY",9853,"R",1,1,1,1,1,0.797828073
"2088","Total","21099","Hart","KY",9853,"B",1,1,1,1,1,0.797828073
"2089","Total","21101","Henderson","KY",22320,"R",1,1,1,1,1,0.900851254
"2090","Total","21101","Henderson","KY",22320,"B",1,1,1,1,1,0.902195341
"2091","Total","21103","Henry","KY",7520,"R",1,1,1,1,1,0.554787234
"2092","Total","21103","Henry","KY",7520,"B",1,1,1,1,1,0.573803191
"2093","Total","21105","Hickman","KY",2646,"R",1,1,1,1,1,0.981481481
"2094","Total","21105","Hickman","KY",2646,"B",1,1,1,1,1,0.981481481
"2095","Total","21107","Hopkins","KY",24125,"R",1,1,1,1,1,0.213264249
"2096","Total","21107","Hopkins","KY",24125,"B",1,1,1,1,1,0.232082902
"2097","Total","21109","Jackson","KY",8325,"R",1,1,1,1,1,0.99963964
"2098","Total","21109","Jackson","KY",8325,"B",1,1,1,1,1,0.99963964
"2099","Total","21111","Jefferson","KY",390934,"R",1,1,1,1,1,0.972905913
"2100","Total","21111","Jefferson","KY",390934,"B",1,1,1,1,1,0.998393591
"2101","Total","21113","Jessamine","KY",23558,"R",1,1,1,1,1,0.897996434
"2102","Total","21113","Jessamine","KY",23558,"B",1,1,1,1,1,0.899354784
"2103","Total","21115","Johnson","KY",11648,"R",1,1,1,1,1,0.929086538
"2104","Total","21115","Johnson","KY",11648,"B",1,1,1,1,1,0.929086538
"2105","Total","21117","Kenton","KY",78451,"R",1,1,1,1,1,0.986437394
"2106","Total","21117","Kenton","KY",78451,"B",1,1,1,1,1,0.994480631
"2107","Total","21119","Knott","KY",7759,"R",1,1,1,1,1,0.979378786
"2108","Total","21119","Knott","KY",7759,"B",1,1,1,1,1,0.979378786
"2109","Total","21121","Knox","KY",15069,"R",1,1,1,1,1,0.867608999
"2110","Total","21121","Knox","KY",15069,"B",1,1,1,1,1,0.872785188
"2111","Total","21123","Larue","KY",7158,"R",1,1,1,0.999301481,0.999301481,0.507264599
"2112","Total","21123","Larue","KY",7158,"B",1,1,1,0.999301481,0.999301481,0.507264599
"2113","Total","21125","Laurel","KY",29418,"R",1,1,1,1,1,0.907335645
"2114","Total","21125","Laurel","KY",29418,"B",1,1,1,1,1,0.925827725
"2115","Total","21127","Lawrence","KY",9148,"R",1,1,1,1,1,0.99562746
"2116","Total","21127","Lawrence","KY",9148,"B",1,1,1,1,1,0.99562746
"2117","Total","21129","Lee","KY",3999,"R",1,1,1,1,1,0.585646412
"2118","Total","21129","Lee","KY",3999,"B",1,1,1,1,1,0.585646412
"2119","Total","21131","Leslie","KY",5760,"R",1,1,1,1,1,0.4796875
"2120","Total","21131","Leslie","KY",5760,"B",1,1,1,1,1,0.480381944
"2121","Total","21133","Letcher","KY",11444,"R",1,1,1,1,1,0.15894792
"2122","Total","21133","Letcher","KY",11444,"B",1,1,1,1,1,0.15894792
"2123","Total","21135","Lewis","KY",7056,"R",1,1,1,1,1,0.314342404
"2124","Total","21135","Lewis","KY",7056,"B",1,1,1,1,1,0.329790249
"2125","Total","21137","Lincoln","KY",12492,"R",1,1,1,1,1,0.833333333
"2126","Total","21137","Lincoln","KY",12492,"B",1,1,1,1,1,0.865914185
"2127","Total","21139","Livingston","KY",5473,"R",1,1,1,1,1,0.205006395
"2128","Total","21139","Livingston","KY",5473,"B",1,1,1,1,1,0.205006395
"2129","Total","21141","Logan","KY",14203,"R",1,1,1,1,1,0.984862353
"2130","Total","21141","Logan","KY",14203,"B",1,1,1,1,1,0.904245582
"2131","Total","21143","Lyon","KY",5626,"R",1,1,1,1,1,0.335584785
"2132","Total","21143","Lyon","KY",5626,"B",1,1,1,1,1,0.225204408
"2133","Total","21145","McCracken","KY",37195,"R",1,1,1,1,1,0.512568894
"2134","Total","21145","McCracken","KY",37195,"B",1,1,1,1,1,0.505955101
"2135","Total","21147","McCreary","KY",7347,"R",1,1,1,1,1,1
"2136","Total","21147","McCreary","KY",7347,"B",1,1,1,1,1,1
"2137","Total","21149","McLean","KY",4796,"R",1,1,1,1,1,0.655963303
"2138","Total","21149","McLean","KY",4796,"B",1,1,1,1,1,0.667431193
"2139","Total","21151","Madison","KY",45180,"R",1,1,1,0.999955733,0.999955733,0.943315626
"2140","Total","21151","Madison","KY",45180,"B",1,1,1,0.999955733,0.999955733,0.948694112
"2141","Total","21153","Magoffin","KY",6811,"R",1,1,1,1,1,1
"2142","Total","21153","Magoffin","KY",6811,"B",1,1,1,1,1,1
"2143","Total","21155","Marion","KY",9580,"R",1,1,1,1,1,0.709185804
"2144","Total","21155","Marion","KY",9580,"B",1,1,1,1,1,0.717640919
"2145","Total","21157","Marshall","KY",21171,"R",1,1,1,1,1,0.313353172
"2146","Total","21157","Marshall","KY",21171,"B",1,1,1,1,1,0.324878371
"2147","Total","21159","Martin","KY",5055,"R",1,1,1,1,1,0.067062315
"2148","Total","21159","Martin","KY",5055,"B",1,1,1,1,1,0.067062315
"2149","Total","21161","Mason","KY",9438,"R",1,1,1,1,1,0.387158296
"2150","Total","21161","Mason","KY",9438,"B",1,1,1,1,1,0.390125026
"2151","Total","21163","Meade","KY",13355,"R",1,1,1,1,1,0.995806814
"2152","Total","21163","Meade","KY",13355,"B",1,1,1,1,1,0.999026582
"2153","Total","21165","Menifee","KY",4633,"R",1,1,1,1,1,1
"2154","Total","21165","Menifee","KY",4633,"B",1,1,1,1,1,1
"2155","Total","21167","Mercer","KY",11559,"R",1,1,1,0.999826975,0.999826975,0.694350722
"2156","Total","21167","Mercer","KY",11559,"B",1,1,1,0.999826975,0.999826975,0.713470023
"2157","Total","21169","Metcalfe","KY",5082,"R",1,1,1,1,1,0.840417159
"2158","Total","21169","Metcalfe","KY",5082,"B",1,1,1,1,1,0.840417159
"2159","Total","21171","Monroe","KY",5906,"R",1,1,1,1,1,0.626142906
"2160","Total","21171","Monroe","KY",5906,"B",1,1,1,1,1,0.626142906
"2161","Total","21173","Montgomery","KY",13544,"R",1,1,1,1,1,0.858904312
"2162","Total","21173","Montgomery","KY",13544,"B",1,1,1,1,1,0.876624335
"2163","Total","21175","Morgan","KY",6538,"R",1,1,1,1,1,0.993881921
"2164","Total","21175","Morgan","KY",6538,"B",1,1,1,1,1,0.993881921
"2165","Total","21177","Muhlenberg","KY",15259,"R",1,1,1,0.999803395,0.999803395,0.380693361
"2166","Total","21177","Muhlenberg","KY",15259,"B",1,1,1,0.999803395,0.999803395,0.30309981
"2167","Total","21179","Nelson","KY",22948,"R",1,1,1,1,1,0.563012027
"2168","Total","21179","Nelson","KY",22948,"B",1,1,1,1,1,0.564537215
"2169","Total","21181","Nicholas","KY",3766,"R",1,1,1,0.999734466,0.999734466,0.358470526
"2170","Total","21181","Nicholas","KY",3766,"B",1,1,1,0.999734466,0.999734466,0.375730218
"2171","Total","21183","Ohio","KY",12174,"R",1,1,1,1,1,0.464760966
"2172","Total","21183","Ohio","KY",12174,"B",1,1,1,1,1,0.48373583
"2173","Total","21185","Oldham","KY",26376,"R",1,1,1,1,1,0.969934789
"2174","Total","21185","Oldham","KY",26376,"B",1,1,1,1,1,0.98718532
"2175","Total","21187","Owen","KY",7289,"R",1,1,1,1,1,0.481273151
"2176","Total","21187","Owen","KY",7289,"B",1,1,1,1,1,0.472904376
"2177","Total","21189","Owsley","KY",2367,"R",1,1,1,1,1,0.992817913
"2178","Total","21189","Owsley","KY",2367,"B",1,1,1,1,1,0.992817913
"2179","Total","21191","Pendleton","KY",7031,"R",1,1,1,1,1,0.88237804
"2180","Total","21191","Pendleton","KY",7031,"B",1,1,1,1,1,0.841274356
"2181","Total","21193","Perry","KY",14191,"R",1,1,1,1,1,0.583891199
"2182","Total","21193","Perry","KY",14191,"B",1,1,1,1,1,0.586428018
"2183","Total","21195","Pike","KY",30440,"R",1,1,1,1,1,0.110315375
"2184","Total","21195","Pike","KY",30440,"B",1,1,1,1,1,0.110315375
"2185","Total","21197","Powell","KY",6851,"R",1,1,1,1,1,0.801926726
"2186","Total","21197","Powell","KY",6851,"B",1,1,1,1,1,0.802510582
"2187","Total","21199","Pulaski","KY",35400,"R",1,1,1,1,1,0.781553672
"2188","Total","21199","Pulaski","KY",35400,"B",1,1,1,1,1,0.795706215
"2189","Total","21201","Robertson","KY",1842,"R",1,1,1,1,1,0.192725299
"2190","Total","21201","Robertson","KY",1842,"B",1,1,1,1,1,0.193811075
"2191","Total","21203","Rockcastle","KY",10235,"R",1,1,1,1,1,0.58124084
"2192","Total","21203","Rockcastle","KY",10235,"B",1,1,1,1,1,0.587103078
"2193","Total","21205","Rowan","KY",11862,"R",1,1,1,0.999915697,0.999915697,0.845557242
"2194","Total","21205","Rowan","KY",11862,"B",1,1,1,0.999915697,0.999915697,0.85120553
"2195","Total","21207","Russell","KY",11513,"R",1,1,1,1,1,0.988187267
"2196","Total","21207","Russell","KY",11513,"B",1,1,1,1,1,0.988187267
