"area_data_type","GEOID","county","state","total_area","mobilebb_3g_area_st_pct","mobilebb_3g_area_iv_pct","mobilebb_4g_area_st_pct","mobilebb_4g_area_iv_pct","mobilebb_5g_spd1_area_st_pct","mobilebb_5g_spd1_area_iv_pct","mobilebb_5g_spd2_area_st_pct","mobilebb_5g_spd2_area_iv_pct","year"
"Total","01057","Fayette","AL",1631.0737625,0,0,0.917662254,0.404391346,0.558992573,0.14556022,0.311462706,0.101646755,"_2023"
"Total","01059","Franklin","AL",1681.738695,0,0,0.962795941,0.577602405,0.812539146,0.340911938,0.529187022,0.240949518,"_2023"
"Total","01061","Geneva","AL",1523.318615,0,0,0.997579864,0.727976767,0.655995021,0.194094869,0.406859356,0.133798921,"_2023"
"Total","01063","Greene","AL",1695.85325,0,0,0.971677019,0.503229814,0.475776398,0.141055901,0.306645963,0.104596273,"_2023"
"Total","01065","Hale","AL",1693.957265,0,0,0.970588235,0.546325084,0.576234299,0.140716329,0.319922895,0.095448327,"_2023"
"Total","01067","Henry","AL",1513.9440225,0,0,0.979266681,0.540805677,0.557712377,0.090099492,0.320461977,0.03367425,"_2023"
"Total","01069","Houston","AL",1544.59578,0,0,0.995499182,0.790643753,0.825900164,0.438079651,0.614634479,0.312329514,"_2023"
"Total","01071","Jackson","AL",3023.253415,0,0,0.796808585,0.487527002,0.554490976,0.198696955,0.395651871,0.14159292,"_2023"
"Total","01073","Jefferson","AL",2947.9406775,0,0,0.997070068,0.836781363,0.979133169,0.691749741,0.903955408,0.584950155,"_2023"
"Total","01075","Lamar","AL",1561.659645,0,0,0.950020235,0.430797248,0.495953055,0.128827735,0.293605828,0.095170646,"_2023"
"Total","01077","Lauderdale","AL",1885.3464175,0,0,0.971897871,0.737080284,0.863791273,0.488518912,0.677132801,0.368735684,"_2023"
"Total","01079","Lawrence","AL",1881.9757775,0,0,0.851849779,0.626238316,0.742430179,0.41277215,0.56472827,0.279397772,"_2023"
"Total","01081","Lee","AL",1646.55764,0,0,0.996225691,0.753390481,0.817681679,0.436924258,0.63357216,0.336489253,"_2023"
"Total","01083","Limestone","AL",1604.213975,0,0,0.980892974,0.804136573,0.9558109,0.695797768,0.854760341,0.543532502,"_2023"
"Total","01085","Lowndes","AL",1892.7196925,0,0,0.930157493,0.473370805,0.342423062,0.053703601,0.166286382,0.019700595,"_2023"
"Total","01087","Macon","AL",1628.229785,0,0,0.978716522,0.519213352,0.394229525,0.06643809,0.206883167,0.0263941,"_2023"
"Total","01089","Madison","AL",2162.68689,0,0,0.971994935,0.809029807,0.928258328,0.69257744,0.834356127,0.57685564,"_2023"
"Total","01091","Marengo","AL",2522.1867125,0,0,0.999749426,0.998872416,0.441595323,0.084109417,0.239674253,0.035330967,"_2023"
"Total","01093","Marion","AL",1929.1647375,0,0,0.963199563,0.599344799,0.737919738,0.301446901,0.501501502,0.209172809,"_2023"
"Total","01095","Marshall","AL",1657.722885,0,0,0.988054391,0.75397128,0.942940653,0.538569068,0.814017029,0.35563604,"_2023"
"Total","01097","Mobile","AL",4161.89774,0,0,0.970869609,0.817599717,0.852298036,0.602576432,0.72803199,0.489015995,"_2023"
"Total","01099","Monroe","AL",2663.016265,0,0,0.76924294,0.306304881,0.385728977,0.096748675,0.234277351,0.064591409,"_2023"
"Total","01101","Montgomery","AL",2104.12202,0,0,0.994393272,0.703394073,0.861934321,0.439527433,0.655736884,0.342711254,"_2023"
"Total","01103","Morgan","AL",1582.1994825,0,0,0.987750483,0.770254976,0.892483856,0.589308302,0.69882165,0.443645563,"_2023"
"Total","01105","Perry","AL",1876.4984875,0,0,0.999887735,0.999607073,0.230087005,0.023631771,0.091664328,0.00931799,"_2023"
"Total","01107","Pickens","AL",2289.1912225,0,0,0.948097363,0.462476418,0.420466572,0.111811531,0.279712879,0.078314085,"_2023"
"Total","01109","Pike","AL",1774.3259625,0,0,0.967408727,0.480795488,0.545087563,0.209023449,0.352033244,0.155417038,"_2023"
"Total","01111","Randolph","AL",1564.5036225,0,0,0.955901165,0.474314953,0.52447317,0.108058978,0.342759039,0.078435333,"_2023"
"Total","01113","Russell","AL",1731.876965,0,0,0.998297044,0.681547257,0.851295463,0.276730325,0.575599076,0.167072132,"_2023"
"Total","01115","St. Clair","AL",1730.9289725,0,0,0.995861985,0.731637559,0.965070285,0.428710522,0.807764863,0.288200572,"_2023"
"Total","01117","Shelby","AL",2126.663175,0,0,0.999257058,0.807924715,0.964140664,0.609707776,0.85978207,0.48226845,"_2023"
"Total","01119","Sumter","AL",2334.2735325,0,0,0.941744506,0.436081404,0.481837462,0.135733947,0.317449574,0.096972158,"_2023"
"Total","01121","Talladega","AL",2013.4307375,0,0,0.998325922,0.717394716,0.973057808,0.404917604,0.800889354,0.255558462,"_2023"
"Total","01123","Tallapoosa","AL",2035.44523,0,0,0.979559097,0.594752639,0.429310702,0.082591596,0.243945353,0.028306769,"_2023"
"Total","01125","Tuscaloosa","AL",3503.78028,0,0,0.943362193,0.557689995,0.786976912,0.325607263,0.574104137,0.240169553,"_2023"
"Total","01127","Walker","AL",2102.1207025,0,0,0.993836749,0.742045398,0.956306058,0.44886506,0.786691386,0.27854888,"_2023"
"Total","01129","Washington","AL",2763.8194675,0,0,0.763672396,0.25827966,0.406913373,0.106139716,0.242806509,0.072144518,"_2023"
"Total","01131","Wilcox","AL",2342.384135,0,0,0.999910064,0.99977516,0.222457055,0.024822376,0.10032377,0.007374764,"_2023"
"Total","01133","Winston","AL",1651.9295975,0,0,0.895300644,0.572913346,0.69068418,0.324619014,0.410890773,0.21551999,"_2023"
"Total","02013","Aleutians East Borough","AK",46270.1446025,0.007780967,9.106e-06,0.0001548,7.0571e-05,0,0,0,0,"_2023"
"Total","02016","Aleutians West Census Area","AK",37603.913165,0.017408866,0.012324861,0.010212828,0.006885115,0.008728242,0.006773071,0.00839211,0.005935541,"_2023"
"Total","02020","Anchorage Municipality","AK",5739.567925,0.301119471,0.229069554,0.481042393,0.25391815,0.291943476,0.190218389,0.167608736,0.120058726,"_2023"
"Total","02050","Bethel Census Area","AK",126201.2908975,0.225964279,0.152142977,0.010396261,0.003537199,0,0,0,0,"_2023"
"Total","02060","Bristol Bay Borough","AK",2506.49217,0.53790553,0.418263574,0.401033787,0.222348294,0,0,0,0,"_2023"
"Total","02063","Chugach Census Area","AK",46165.0227675,0.006669268,0.004440094,0.258956053,0.195037864,0.011031786,0.006388625,0.00830293,0.004510825,"_2023"
"Total","02066","Copper River Census Area","AK",75680.347925,0.029109661,0.010349483,0.20686718,0.091592089,0.02657657,0.00524294,0.018203454,0.004007015,"_2023"
"Total","02068","Denali Borough","AK",35291.1274625,0.05661926,0.033726813,0.083379844,0.027518692,0.028402155,0.008240684,0.015815786,0.005190348,"_2023"
"Total","02070","Dillingham Census Area","AK",59132.5068425,0.095915666,0.055638782,0.037348434,0.024865111,0,0,0,0,"_2023"
"Total","02090","Fairbanks North Star Borough","AK",20695.940265,0.242215572,0.146166061,0.33079875,0.133930844,0.183350129,0.063573254,0.103439501,0.044426461,"_2023"
"Total","02100","Haines Borough","AK",8613.881185,0.040903421,0.010528504,0.140771357,0.037675169,0.01469833,0.001112769,0.0126929,0.000819291,"_2023"
"Total","02105","Hoonah-Angoon Census Area","AK",30433.08723,0.050189669,0.026051834,0.209508383,0.127376057,0.082821088,0.035171879,0.072603868,0.030243247,"_2023"
"Total","02110","Juneau City and Borough","AK",10139.095785,0.125496063,0.099472252,0.108416963,0.060639116,0.044463837,0.026574415,0.030335141,0.021733259,"_2023"
"Total","02122","Kenai Peninsula Borough","AK",73365.2449075,0.128031,0.078844412,0.167173239,0.062613512,0.040174527,0.014357275,0.022553843,0.008147754,"_2023"
"Total","02130","Ketchikan Gateway Borough","AK",20741.1279075,0.063201142,0.040734139,0.077608666,0.040637648,0.01224411,0.003620925,0.007114889,0.002051688,"_2023"
"Total","02150","Kodiak Island Borough","AK",37649.62747,0.037008024,0.02201513,0.041926387,0.018951644,0.016064414,0.01034311,0.01195179,0.007937085,"_2023"
"Total","02158","Kusilvak Census Area","AK",52158.8633475,0.306783553,0.207703011,0,0,0,0,0,0,"_2023"
"Total","02164","Lake and Peninsula Borough","AK",101565.9151325,0.008434613,0.004097523,0.028839263,0.010139581,0,0,0,0,"_2023"
"Total","02170","Matanuska-Susitna Borough","AK",72538.3847825,0.081292537,0.051392485,0.226371175,0.074143882,0.09226165,0.033125152,0.040979524,0.020892718,"_2023"
"Total","02180","Nome Census Area","AK",71716.475285,0.101871462,0.056264302,0.005488663,0.00257763,0.001152957,0.001144145,0.001145613,0.000800461,"_2023"
"Total","02185","North Slope Borough","AK",237753.359025,0.041796143,0.028540606,0.0570152,0.030753554,0,0,0,0,"_2023"
"Total","02188","Northwest Arctic Borough","AK",101821.767775,0.088342454,0.063767366,0.054132227,0.031745063,0.003913435,0.002081372,0.00372516,0.001795856,"_2023"
"Total","02195","Petersburg Borough","AK",11940.1762025,0.109591821,0.080603756,0.16234551,0.053309456,0,0,0,0,"_2023"
"Total","02198","Prince of Wales-Hyder Census Area","AK",34900.1332225,0.042881331,0.01631893,0.133125888,0.044619763,0.002281692,0.000144869,0.000437626,6.338e-05,"_2023"
"Total","02220","Sitka City and Borough","AK",15497.570725,0.120403725,0.0766533,0.084340379,0.032549446,0,0,0,0,"_2023"
"Total","02230","Skagway Municipality","AK",1385.2277075,0.007603984,0.002813474,0.06372139,0.028667022,0.029731579,0.011482017,0.025093149,0.009352901,"_2023"
"Total","02240","Southeast Fairbanks Census Area","AK",72740.6231825,0.077854734,0.048118903,0.146931352,0.044546548,0.026526939,0.005408489,0.015413109,0.003497055,"_2023"
"Total","02275","Wrangell City and Borough","AK",10864.626045,0.12801272,0.077550269,0.059139472,0.029123766,0,0,0,0,"_2023"
"Total","02282","Yakutat City and Borough","AK",29471.19084,0,0,0.019121347,0.006290387,0,0,0,0,"_2023"
"Total","02290","Yukon-Koyukuk Census Area","AK",396170.70038,0.008729791,0.004049832,0.01053137,0.002350083,0.003804959,0.000545047,0.002016142,0.00045651,"_2023"
"Total","04001","Apache","AZ",25459.918575,0.476418022,0.342418601,0.757643457,0.375822266,0.054552977,0.01253982,0.037288486,0.009941666,"_2023"
"Total","04003","Cochise","AZ",13705.9702325,0,0,0.875216145,0.515235819,0.530498536,0.159197977,0.336509864,0.10017599,"_2023"
"Total","04005","Coconino","AZ",42697.8981975,0.366007751,0.207261146,0.730503277,0.349047644,0.283119081,0.059620636,0.163120462,0.023026275,"_2023"
"Total","04007","Gila","AZ",10740.96569,0.091721257,0.043011807,0.560859844,0.238281097,0.271888362,0.086916016,0.205173969,0.038353666,"_2023"
"Total","04009","Graham","AZ",10309.8397675,0.102258912,0.066265491,0.602928105,0.298705545,0.250349922,0.077881875,0.178444815,0.008541158,"_2023"
"Total","04011","Greenlee","AZ",4109.5474875,2.5631e-05,0,0.476509035,0.228732539,0.271639113,0.053492247,0.177316417,0.008304498,"_2023"
"Total","04012","La Paz","AZ",10192.2886975,0.008546655,0.000651075,0.807385054,0.460671951,0.52769137,0.165848516,0.37529841,0.060994388,"_2023"
"Total","04013","Maricopa","AZ",20676.559085,0.237164923,0.17507565,0.837604051,0.577560648,0.637423713,0.340349876,0.533596878,0.260812642,"_2023"
"Total","04015","Mohave","AZ",30950.05914,0.003488388,0.000622805,0.671060334,0.348586948,0.404268425,0.176784693,0.353845054,0.1444601,"_2023"
"Total","04017","Navajo","AZ",22621.1023675,0.59684111,0.420396817,0.714112098,0.370326738,0.103301841,0.025065306,0.069817796,0.015217057,"_2023"
"Total","04019","Pima","AZ",20369.3041825,0.416933411,0.301291233,0.800450923,0.439888097,0.352097672,0.208293472,0.30023115,0.153722444,"_2023"
"Total","04021","Pinal","AZ",11966.2986625,0.017420008,0.005017385,0.90170327,0.640367942,0.720047533,0.391347212,0.630491616,0.286598301,"_2023"
"Total","04023","Santa Cruz","AZ",2726.1104325,0.056952977,0.022332986,0.786986592,0.468374483,0.639465245,0.191878212,0.477377227,0.071751478,"_2023"
"Total","04025","Yavapai","AZ",18409.2770225,0.103746002,0.063779874,0.785561843,0.430684373,0.554713829,0.204974453,0.408049298,0.088217288,"_2023"
"Total","04027","Yuma","AZ",12372.6714475,0.072218486,0.054944961,0.604462682,0.282480441,0.309144156,0.113959289,0.214748474,0.06989435,"_2023"
"Total","05001","Arkansas","AR",2575.0636275,0,0,0.859410153,0.475150325,0.584161656,0.232175727,0.407821001,0.161614922,"_2023"
"Total","05003","Ashley","AR",2302.8844475,0,0,0.894662215,0.369391209,0.571650734,0.168275168,0.276906189,0.117550199,"_2023"
"Total","05005","Baxter","AR",1464.0164175,0,0,0.82782934,0.426505504,0.615008274,0.243326858,0.403554213,0.168357436,"_2023"
"Total","05007","Benton","AR",2164.6882075,0,0,0.990657389,0.808135857,0.915137949,0.665174444,0.727993772,0.505912121,"_2023"
"Total","05009","Boone","AR",1491.08687,0,0,0.91318169,0.594023736,0.681972309,0.245267025,0.481915795,0.138739757,"_2023"
"Total","05011","Bradley","AR",1592.838065,0,0,0.896376141,0.260283031,0.415685756,0.112088348,0.237071816,0.081536834,"_2023"
"Total","05013","Calhoun","AR",1540.80381,0,0,0.838255401,0.185739677,0.405181843,0.078274542,0.21691277,0.054211102,"_2023"
"Total","05015","Carroll","AR",1574.6155425,0,0,0.93711954,0.568265436,0.754833099,0.252993511,0.521506455,0.157535621,"_2023"
"Total","05017","Chicot","AR",1702.9105275,0,0,0.974454135,0.777509742,0.849384549,0.303148389,0.6080287,0.222923239,"_2023"
"Total","05019","Clark","AR",2141.409725,0,0,0.801918347,0.296114117,0.432907034,0.138760453,0.197638957,0.082439744,"_2023"
"Total","05021","Clay","AR",1638.763035,0,0,0.99530788,0.647255431,0.650662039,0.117045893,0.397994601,0.085807944,"_2023"
"Total","05023","Cleburne","AR",1472.6536825,0,0,0.909949217,0.620270367,0.797582433,0.454545455,0.468206852,0.226736285,"_2023"
"Total","05025","Cleveland","AR",1466.017735,0,0,0.934114097,0.243282081,0.35184653,0.055755137,0.188892082,0.040523064,"_2023"
"Total","05027","Columbia","AR",1847.53205,0,0,0.832440137,0.299429875,0.452280502,0.121208666,0.269897377,0.078449259,"_2023"
"Total","05029","Conway","AR",1395.3396275,0,0,0.957273345,0.613648373,0.749377217,0.29380237,0.543745754,0.188344531,"_2023"
"Total","05031","Craighead","AR",1807.716365,0,0,0.999825195,0.898496679,0.945344365,0.685584431,0.722409976,0.488754224,"_2023"
"Total","05033","Crawford","AR",1472.54835,0,0,0.848211731,0.604935622,0.728612303,0.474177396,0.52074392,0.347353362,"_2023"
"Total","05035","Crittenden","AR",1631.2844275,0,0,0.985213405,0.780848454,0.844837606,0.477626396,0.663524246,0.358881643,"_2023"
"Total","05037","Cross","AR",1567.6635975,0,0,0.982127259,0.651279984,0.793590002,0.288181146,0.452596923,0.175838205,"_2023"
"Total","05039","Dallas","AR",1628.44045,0,0,0.872833118,0.250064683,0.423285899,0.091461837,0.252134541,0.062419146,"_2023"
"Total","05041","Desha","AR",2011.9560825,0,0,0.817915292,0.46034239,0.547615308,0.238992723,0.307732579,0.123396681,"_2023"
"Total","05043","Drew","AR",2053.6677525,0,0,0.865517772,0.32769144,0.576191209,0.165153613,0.242447556,0.106990819,"_2023"
"Total","05045","Faulkner","AR",1640.23769,0,0,0.993578217,0.769971744,0.94798356,0.62676599,0.732725405,0.467569997,"_2023"
"Total","05047","Franklin","AR",1512.15337,0,0,0.851421009,0.600306492,0.734118139,0.367442184,0.489551407,0.221788799,"_2023"
"Total","05049","Fulton","AR",1559.552995,0,0,0.908955829,0.392543563,0.622247737,0.204511684,0.399027421,0.151560178,"_2023"
"Total","05051","Garland","AR",1789.9151725,0,0,0.86965221,0.541340552,0.688989584,0.378920732,0.504619549,0.298181604,"_2023"
"Total","05053","Grant","AR",1550.8103975,0,0,0.969843103,0.329552401,0.565577668,0.130679889,0.251715004,0.08456157,"_2023"
"Total","05055","Greene","AR",1474.5496675,0,0,0.999714265,0.835345382,0.927066219,0.453603829,0.552825202,0.320594328,"_2023"
"Total","05057","Hempstead","AR",1783.5952225,0,0,0.984172917,0.470678557,0.584539066,0.188448592,0.302190988,0.109195063,"_2023"
"Total","05059","Hot Spring","AR",1514.892015,0,0,0.93450146,0.446669448,0.659574468,0.191002642,0.358016966,0.112362676,"_2023"
"Total","05061","Howard","AR",1433.78599,0,0,0.935865413,0.384293271,0.449089039,0.113576256,0.209300617,0.072583015,"_2023"
"Total","05063","Independence","AR",1932.430045,0,0,0.949198735,0.548893492,0.757767361,0.30202769,0.444238526,0.180257277,"_2023"
"Total","05065","Izard","AR",1461.9097675,0,0,0.88032279,0.344909576,0.444484473,0.114489517,0.293176742,0.08141797,"_2023"
"Total","05067","Jackson","AR",1611.6925825,0,0,0.988301418,0.701392066,0.90471211,0.361022155,0.558329521,0.217109993,"_2023"
"Total","05069","Jefferson","AR",2256.64348,0,0,0.982169529,0.574635922,0.807458925,0.400065347,0.592886482,0.306432039,"_2023"
"Total","05071","Johnson","AR",1675.9454075,0,0,0.631952737,0.394255546,0.534535856,0.265665263,0.385645151,0.157563949,"_2023"
"Total","05073","Lafayette","AR",1311.17896,0,0,0.907696015,0.259881105,0.545067481,0.109575835,0.291934447,0.07937018,"_2023"
"Total","05075","Lawrence","AR",1496.14283,0,0,0.946001126,0.623204731,0.677696424,0.231554492,0.381019431,0.135454801,"_2023"
"Total","05077","Lee","AR",1559.76366,0,0,0.934292274,0.563411669,0.653498109,0.232712048,0.271745003,0.118787142,"_2023"
"Total","05079","Lincoln","AR",1403.660895,0,0,0.939066487,0.513282305,0.674846165,0.236905298,0.337535645,0.16629146,"_2023"
"Total","05081","Little River","AR",1347.41334,0,0,0.928314572,0.341932458,0.59318324,0.137742339,0.260162602,0.092870544,"_2023"
"Total","05083","Logan","AR",1777.6966025,0,0,0.936777863,0.558867097,0.838893168,0.380873378,0.586715649,0.234342596,"_2023"
"Total","05085","Lonoke","AR",1987.7296075,0,0,0.994064967,0.82730115,0.947326586,0.650786922,0.801971279,0.487944465,"_2023"
"Total","05087","Madison","AR",2054.40508,0,0,0.667914274,0.329317063,0.467032404,0.181449959,0.304040197,0.115617309,"_2023"
"Total","05089","Marion","AR",1591.8900725,0,0,0.835505856,0.451333289,0.637530603,0.25871766,0.403427513,0.166214517,"_2023"
"Total","05091","Miller","AR",1527.110585,0,0,0.957580356,0.43337012,0.763691544,0.294109532,0.486204994,0.204441992,"_2023"
"Total","05093","Mississippi","AR",2374.9318775,0,0,0.990420012,0.810529117,0.862553777,0.42861578,0.579589302,0.265977735,"_2023"
"Total","05095","Monroe","AR",1549.019745,0,0,0.907928737,0.525975792,0.660682715,0.279001768,0.439684483,0.201754386,"_2023"
"Total","05097","Montgomery","AR",1940.435315,0,0,0.736510694,0.228205407,0.327326023,0.081587233,0.190098795,0.050374552,"_2023"
"Total","05099","Nevada","AR",1498.3548125,0,0,0.881054482,0.280913884,0.419332162,0.11142355,0.174762742,0.051107206,"_2023"
"Total","05101","Newton","AR",2028.70395,0,0,0.392523364,0.139148494,0.273727934,0.060799585,0.178504673,0.041692627,"_2023"
"Total","05103","Ouachita","AR",1793.18048,0,0,0.812617481,0.278371711,0.487253289,0.133399906,0.267739662,0.083117951,"_2023"
"Total","05105","Perry","AR",1373.4304675,0,0,0.641000077,0.286448347,0.338676279,0.107907048,0.241889715,0.059897231,"_2023"
"Total","05107","Phillips","AR",1817.7229525,0,0,0.966448398,0.677232427,0.698383265,0.231442313,0.396824477,0.146085646,"_2023"
"Total","05109","Pike","AR",1482.3442725,0,0,0.873303489,0.315213529,0.398706743,0.08875151,0.256235344,0.068499964,"_2023"
"Total","05111","Poinsett","AR",1930.53406,0,0,0.991979485,0.760748581,0.868998254,0.373745089,0.580859887,0.217754256,"_2023"
"Total","05113","Polk","AR",2074.839585,0,0,0.815514265,0.349578637,0.481825566,0.128896335,0.292263174,0.09427353,"_2023"
"Total","05115","Pope","AR",2042.0811775,0,0,0.759065353,0.446123691,0.594522102,0.26858204,0.404962088,0.165265384,"_2023"
"Total","05117","Prairie","AR",1679.1053825,0,0,0.973590114,0.533655354,0.767517722,0.294523556,0.480898313,0.202496707,"_2023"
"Total","05119","Pulaski","AR",1987.9402725,0,0,0.997350713,0.829226938,0.969692153,0.740634769,0.84639432,0.630954273,"_2023"
"Total","05121","Randolph","AR",1663.3055075,0,0,0.681400798,0.346779811,0.467988094,0.163447533,0.243556456,0.10537648,"_2023"
"Total","05123","St. Francis","AR",1615.0632225,0,0,0.992434618,0.686427966,0.803821822,0.397834736,0.501989174,0.254614231,"_2023"
"Total","05125","Saline","AR",1790.3365025,0,0,0.895393305,0.569982938,0.787433076,0.449549921,0.568453256,0.333705948,"_2023"
"Total","05127","Scott","AR",2173.22014,0,0,0.714424195,0.263425746,0.449689802,0.148167895,0.248739822,0.079342769,"_2023"
"Total","05129","Searcy","AR",1656.458895,0,0,0.643011573,0.303382933,0.507058375,0.169337403,0.338293272,0.113760651,"_2023"
"Total","05131","Sebastian","AR",1317.6042425,0,0,0.995763051,0.8186106,0.9312495,0.618674554,0.715165081,0.454792549,"_2023"
"Total","05133","Sevier","AR",1392.8116475,0,0,0.890720714,0.330484761,0.533766921,0.14308402,0.286924299,0.099447932,"_2023"
"Total","05135","Sharp","AR",1527.531915,0,0,0.742518273,0.261481175,0.327954765,0.101434285,0.204316646,0.063853262,"_2023"
"Total","05137","Stone","AR",1518.7893175,0,0,0.692489077,0.267563631,0.388584507,0.111103405,0.238366045,0.078992995,"_2023"
"Total","05139","Union","AR",2557.05177,0,0,0.866782007,0.306969847,0.528752678,0.140921074,0.278217169,0.095650025,"_2023"
"Total","05141","Van Buren","AR",1791.705825,0,0,0.710464433,0.354144621,0.555731922,0.228571429,0.32904174,0.124926514,"_2023"
"Total","05143","Washington","AR",2325.0042725,0,0,0.895981516,0.641643637,0.754088706,0.47551307,0.562315952,0.35391655,"_2023"
"Total","05145","White","AR",2594.2341425,0,0,0.940192456,0.580047911,0.804458159,0.390149823,0.540704048,0.259003614,"_2023"
"Total","05147","Woodruff","AR",1486.3469075,0,0,0.964708384,0.567075331,0.781659698,0.320175749,0.514633973,0.205159096,"_2023"
"Total","05149","Yell","AR",2312.25904,0,0,0.645818149,0.305530248,0.456495991,0.140670554,0.297877187,0.083864796,"_2023"
"Total","06001","Alameda","CA",2033.549245,0,0,0.811509375,0.652905832,0.844711489,0.654874132,0.776235367,0.545322698,"_2023"
"Total","06003","Alpine","CA",1828.8881975,0,0,0.540402004,0.145481772,0.193975695,0.054426078,0.107239532,0.029200023,"_2023"
"Total","06005","Amador","CA",1497.9334825,0,0,0.796849729,0.502988538,0.611138457,0.33302862,0.469446593,0.169327052,"_2023"
"Total","06007","Butte","CA",4247.638395,0,0,0.804071815,0.572360264,0.672965333,0.378589496,0.546669642,0.18184298,"_2023"
"Total","06009","Calaveras","CA",2553.3651325,0,0,0.844024586,0.458520688,0.580751619,0.240542882,0.405428819,0.119425766,"_2023"
"Total","06011","Colusa","CA",2927.5061725,0,0,0.775842838,0.575288742,0.651818803,0.370704854,0.554564099,0.181196704,"_2023"
"Total","06013","Contra Costa","CA",1998.78952,0,0,0.929964165,0.81165683,0.929858769,0.676064503,0.861614671,0.525242411,"_2023"
"Total","06015","Del Norte","CA",3281.73937,0,0,0.446270381,0.213955578,0.254140454,0.173192964,0.086147131,0.016786494,"_2023"
"Total","06017","El Dorado","CA",4431.6542725,0,0,0.729470207,0.425759989,0.559598793,0.284291588,0.405034107,0.17975899,"_2023"
"Total","06019","Fresno","CA",14460.0456,0,0,0.659739219,0.494740676,0.605820221,0.325371503,0.491229604,0.203343531,"_2023"
