"area_data_type","GEOID","county","state","total_units","biz_res","speed_02_02","speed_10_1","speed_25_3","speed_100_20","speed_250_25","speed_1000_100","year"
"Total","01061","Geneva","AL",15312,"R",1,1,1,1,0.794474922,0.606974922,"_2024"
"Total","01061","Geneva","AL",15312,"B",1,1,1,0.999934692,0.537682863,0.463949843,"_2024"
"Total","01063","Greene","AL",5673,"R",1,1,1,1,0.576238322,0.551560021,"_2024"
"Total","01063","Greene","AL",5673,"B",1,1,1,1,0.08425877,0.082143487,"_2024"
"Total","01065","Hale","AL",10227,"R",1,1,1,1,0.608780679,0.211205632,"_2024"
"Total","01065","Hale","AL",10227,"B",1,1,1,1,0.28160751,0.015742642,"_2024"
"Total","01067","Henry","AL",11688,"R",1,1,1,1,0.702600958,0.584531143,"_2024"
"Total","01067","Henry","AL",11688,"B",1,1,1,1,0.670859001,0.512491444,"_2024"
"Total","01069","Houston","AL",59795,"R",1,1,1,1,0.869019149,0.508386989,"_2024"
"Total","01069","Houston","AL",59795,"B",1,1,1,1,0.685926917,0.50711598,"_2024"
"Total","01071","Jackson","AL",29443,"R",1,1,1,1,0.97381381,0.956763917,"_2024"
"Total","01071","Jackson","AL",29443,"B",1,1,1,1,0.961552831,0.956763917,"_2024"
"Total","01073","Jefferson","AL",350998,"R",1,1,1,1,0.917429729,0.48184605,"_2024"
"Total","01073","Jefferson","AL",350998,"B",1,1,1,1,0.610955048,0.491566904,"_2024"
"Total","01075","Lamar","AL",9240,"R",1,1,1,1,0.999675325,0.999675325,"_2024"
"Total","01075","Lamar","AL",9240,"B",1,1,1,1,0.999675325,0.999675325,"_2024"
"Total","01077","Lauderdale","AL",52299,"R",1,1,1,1,0.884816153,0.439128855,"_2024"
"Total","01077","Lauderdale","AL",52299,"B",1,1,1,1,0.790397522,0.369643779,"_2024"
"Total","01079","Lawrence","AL",19797,"R",1,1,1,1,0.958327019,0.958327019,"_2024"
"Total","01079","Lawrence","AL",19797,"B",1,1,1,1,0.955144719,0.955144719,"_2024"
"Total","01081","Lee","AL",94504,"R",1,1,1,0.999989418,0.932743588,0.51563955,"_2024"
"Total","01081","Lee","AL",94504,"B",1,1,1,0.999989418,0.716318886,0.510909591,"_2024"
"Total","01083","Limestone","AL",50965,"R",1,1,1,0.999980379,0.880153046,0.459158246,"_2024"
"Total","01083","Limestone","AL",50965,"B",1,1,1,0.999941136,0.544648288,0.435024036,"_2024"
"Total","01085","Lowndes","AL",6417,"R",1,1,1,1,0.38725261,0.074645473,"_2024"
"Total","01085","Lowndes","AL",6417,"B",1,1,1,1,0.378369955,0.074645473,"_2024"
"Total","01087","Macon","AL",11374,"R",1,1,1,1,0.734482152,0.651485845,"_2024"
"Total","01087","Macon","AL",11374,"B",1,1,1,1,0.664146299,0.651661685,"_2024"
"Total","01089","Madison","AL",201059,"R",1,1,1,0.999980105,0.982278834,0.880025266,"_2024"
"Total","01089","Madison","AL",201059,"B",1,1,1,0.999980105,0.960359894,0.874534341,"_2024"
"Total","01091","Marengo","AL",12224,"R",1,1,1,1,0.678092277,0.594077225,"_2024"
"Total","01091","Marengo","AL",12224,"B",1,1,1,1,0.678092277,0.594077225,"_2024"
"Total","01093","Marion","AL",17333,"R",1,1,1,1,0.999134599,0.999134599,"_2024"
"Total","01093","Marion","AL",17333,"B",1,1,1,1,0.999134599,0.999134599,"_2024"
"Total","01095","Marshall","AL",48556,"R",1,1,1,0.99995881,0.903060384,0.453414614,"_2024"
"Total","01095","Marshall","AL",48556,"B",1,1,1,0.99995881,0.481464701,0.441593212,"_2024"
"Total","01097","Mobile","AL",211104,"R",1,1,1,1,0.916325603,0.484623693,"_2024"
"Total","01097","Mobile","AL",211104,"B",1,1,1,1,0.917320373,0.50169111,"_2024"
"Total","01099","Monroe","AL",13094,"R",1,1,1,1,0.467847869,0.026347946,"_2024"
"Total","01099","Monroe","AL",13094,"B",1,1,1,1,0.470520849,0.031541164,"_2024"
"Total","01101","Montgomery","AL",130758,"R",1,1,1,1,0.845416724,0.349072332,"_2024"
"Total","01101","Montgomery","AL",130758,"B",1,1,1,1,0.549824867,0.351833157,"_2024"
"Total","01103","Morgan","AL",63685,"R",1,1,1,0.999968595,0.959268274,0.677584989,"_2024"
"Total","01103","Morgan","AL",63685,"B",1,1,1,0.999968595,0.759566617,0.678385805,"_2024"
"Total","01105","Perry","AL",5146,"R",1,1,1,0.999805674,0.25204042,0.23804897,"_2024"
"Total","01105","Perry","AL",5146,"B",1,1,1,0.999805674,0.064321803,0.063350175,"_2024"
"Total","01107","Pickens","AL",12548,"R",1,1,1,0.999920306,0.458160663,0.048533631,"_2024"
"Total","01107","Pickens","AL",12548,"B",1,1,1,0.999920306,0.456646478,0.047019445,"_2024"
"Total","01109","Pike","AL",19111,"R",1,1,1,1,0.847156088,0.847156088,"_2024"
"Total","01109","Pike","AL",19111,"B",1,1,1,1,0.850400293,0.847156088,"_2024"
"Total","01111","Randolph","AL",15108,"R",1,1,1,1,0.306592534,0.191554144,"_2024"
"Total","01111","Randolph","AL",15108,"B",1,1,1,1,0.083730474,0.058909187,"_2024"
"Total","01113","Russell","AL",31855,"R",1,1,1,1,0.979846178,0.979281118,"_2024"
"Total","01113","Russell","AL",31855,"B",1,1,1,1,0.97959504,0.979469471,"_2024"
"Total","01115","St. Clair","AL",48069,"R",1,1,1,1,0.821797832,0.396596559,"_2024"
"Total","01115","St. Clair","AL",48069,"B",1,1,1,1,0.692774969,0.396617363,"_2024"
"Total","01117","Shelby","AL",101925,"R",1,1,1,1,0.874495953,0.567093451,"_2024"
"Total","01117","Shelby","AL",101925,"B",1,1,1,1,0.625616875,0.570654893,"_2024"
"Total","01119","Sumter","AL",8236,"R",1,1,1,1,0.421685284,0.012020398,"_2024"
"Total","01119","Sumter","AL",8236,"B",1,1,1,1,0.417678485,0.022826615,"_2024"
"Total","01121","Talladega","AL",46878,"R",1,1,1,0.999957336,0.837151756,0.48959,"_2024"
"Total","01121","Talladega","AL",46878,"B",1,1,1,0.999957336,0.561884039,0.429497845,"_2024"
"Total","01123","Tallapoosa","AL",26896,"R",1,1,1,1,0.877565437,0.273274836,"_2024"
"Total","01123","Tallapoosa","AL",26896,"B",1,1,1,1,0.362507436,0.273572278,"_2024"
"Total","01125","Tuscaloosa","AL",118480,"R",1,1,1,0.999966239,0.881532748,0.390757934,"_2024"
"Total","01125","Tuscaloosa","AL",118480,"B",1,1,1,0.999940918,0.727751519,0.402253545,"_2024"
"Total","01127","Walker","AL",37641,"R",1,1,1,0.999893733,0.576605297,0.066842007,"_2024"
"Total","01127","Walker","AL",37641,"B",1,1,1,0.999893733,0.177944263,0.08363221,"_2024"
"Total","01129","Washington","AL",10383,"R",1,1,1,1,0.075989598,0.010208995,"_2024"
"Total","01129","Washington","AL",10383,"B",1,1,1,1,0.078012135,0.012231532,"_2024"
"Total","01131","Wilcox","AL",7032,"R",1,1,1,1,0.32337884,0.115187713,"_2024"
"Total","01131","Wilcox","AL",7032,"B",1,1,1,1,0.32337884,0.115187713,"_2024"
"Total","01133","Winston","AL",16329,"R",1,1,1,1,0.666482944,0.642905261,"_2024"
"Total","01133","Winston","AL",16329,"B",1,1,1,1,0.61210117,0.60469104,"_2024"
"Total","02013","Aleutians East Borough","AK",1165,"R",1,1,1,1,0.721030043,0,"_2024"
"Total","02013","Aleutians East Borough","AK",1165,"B",1,1,1,1,0.721030043,0,"_2024"
"Total","02016","Aleutians West Census Area","AK",1577,"R",1,1,1,1,0.390615092,0,"_2024"
"Total","02016","Aleutians West Census Area","AK",1577,"B",1,1,1,1,0.390615092,0,"_2024"
"Total","02020","Anchorage Municipality","AK",138515,"R",1,1,1,1,0.959152438,0.04673862,"_2024"
"Total","02020","Anchorage Municipality","AK",138515,"B",1,1,1,1,0.956907194,0.003804642,"_2024"
"Total","02050","Bethel Census Area","AK",6595,"R",1,1,1,1,0,0,"_2024"
"Total","02050","Bethel Census Area","AK",6595,"B",1,1,1,1,0,0,"_2024"
"Total","02060","Bristol Bay Borough","AK",1157,"R",1,1,1,1,0,0,"_2024"
"Total","02060","Bristol Bay Borough","AK",1157,"B",1,1,1,1,0,0,"_2024"
"Total","02063","Chugach Census Area","AK",3664,"R",1,1,1,1,0.61981441,0.61981441,"_2024"
"Total","02063","Chugach Census Area","AK",3664,"B",1,1,1,1,0.61981441,0.61981441,"_2024"
"Total","02066","Copper River Census Area","AK",4293,"R",1,1,1,1,0.74866061,0.74866061,"_2024"
"Total","02066","Copper River Census Area","AK",4293,"B",1,1,1,1,0.74866061,0.74866061,"_2024"
"Total","02068","Denali Borough","AK",2137,"R",1,1,1,1,0.103883949,0.103883949,"_2024"
"Total","02068","Denali Borough","AK",2137,"B",1,1,1,1,0.056153486,0.056153486,"_2024"
"Total","02070","Dillingham Census Area","AK",2542,"R",1,1,1,1,0,0,"_2024"
"Total","02070","Dillingham Census Area","AK",2542,"B",1,1,1,1,0,0,"_2024"
"Total","02090","Fairbanks North Star Borough","AK",53770,"R",1,1,1,1,0.921591966,0.088804166,"_2024"
"Total","02090","Fairbanks North Star Borough","AK",53770,"B",1,1,1,1,0.921796541,0.050344058,"_2024"
"Total","02100","Haines Borough","AK",1728,"R",1,1,1,1,0.561342593,0.561342593,"_2024"
"Total","02100","Haines Borough","AK",1728,"B",1,1,1,1,0.123263889,0.123263889,"_2024"
"Total","02105","Hoonah-Angoon Census Area","AK",2132,"R",1,1,1,1,0.117260788,0,"_2024"
"Total","02105","Hoonah-Angoon Census Area","AK",2132,"B",1,1,1,1,0.117260788,0,"_2024"
"Total","02110","Juneau City and Borough","AK",16919,"R",1,1,1,1,0.976357941,0,"_2024"
"Total","02110","Juneau City and Borough","AK",16919,"B",1,1,1,1,0.976298836,0,"_2024"
"Total","02122","Kenai Peninsula Borough","AK",40020,"R",1,1,1,1,0.822088956,0.067241379,"_2024"
"Total","02122","Kenai Peninsula Borough","AK",40020,"B",1,1,1,0.91804098,0.820164918,0.065767116,"_2024"
"Total","02130","Ketchikan Gateway Borough","AK",8027,"R",1,1,1,1,0.978074,0.967733898,"_2024"
"Total","02130","Ketchikan Gateway Borough","AK",8027,"B",1,1,1,1,0.978074,0.967733898,"_2024"
"Total","02150","Kodiak Island Borough","AK",6457,"R",1,1,1,1,0.731918848,0,"_2024"
"Total","02150","Kodiak Island Borough","AK",6457,"B",1,1,1,1,0.731918848,0,"_2024"
"Total","02158","Kusilvak Census Area","AK",2959,"R",1,1,1,1,0,0,"_2024"
"Total","02158","Kusilvak Census Area","AK",2959,"B",1,1,1,1,0,0,"_2024"
"Total","02164","Lake and Peninsula Borough","AK",2454,"R",1,1,1,1,0,0,"_2024"
"Total","02164","Lake and Peninsula Borough","AK",2454,"B",1,1,1,1,0,0,"_2024"
"Total","02170","Matanuska-Susitna Borough","AK",57193,"R",1,1,1,1,0.618257479,0.232108825,"_2024"
"Total","02170","Matanuska-Susitna Borough","AK",57193,"B",1,1,1,1,0.519119473,0.045215324,"_2024"
"Total","02180","Nome Census Area","AK",4475,"R",1,1,1,1,0.301675978,0.000893855,"_2024"
"Total","02180","Nome Census Area","AK",4475,"B",1,1,1,1,0.301675978,0.000446927,"_2024"
"Total","02185","North Slope Borough","AK",3093,"R",1,1,1,1,0.638538636,0,"_2024"
"Total","02185","North Slope Borough","AK",3093,"B",1,1,1,1,0.542515357,0.001293243,"_2024"
"Total","02188","Northwest Arctic Borough","AK",3174,"R",1,1,1,1,0.367989918,0,"_2024"
"Total","02188","Northwest Arctic Borough","AK",3174,"B",1,1,1,1,0.367989918,0.00031506,"_2024"
"Total","02195","Petersburg Borough","AK",1765,"R",1,1,1,1,0.890651558,0.34674221,"_2024"
"Total","02195","Petersburg Borough","AK",1765,"B",1,1,1,1,0.889518414,0.009631728,"_2024"
"Total","02198","Prince of Wales-Hyder Census Area","AK",4324,"R",1,1,1,1,0.212303423,0.208140611,"_2024"
"Total","02198","Prince of Wales-Hyder Census Area","AK",4324,"B",1,1,1,1,0.063135985,0.063135985,"_2024"
"Total","02220","Sitka City and Borough","AK",4714,"R",1,1,1,1,0.962240136,0,"_2024"
"Total","02220","Sitka City and Borough","AK",4714,"B",1,1,1,1,0.962240136,0,"_2024"
"Total","02230","Skagway Municipality","AK",704,"R",1,1,1,1,0.852272727,0.852272727,"_2024"
"Total","02230","Skagway Municipality","AK",704,"B",1,1,1,1,0.008522727,0.008522727,"_2024"
"Total","02240","Southeast Fairbanks Census Area","AK",5834,"R",1,1,1,1,0.095131985,0.095131985,"_2024"
"Total","02240","Southeast Fairbanks Census Area","AK",5834,"B",1,1,1,1,0.045594789,0.045594789,"_2024"
"Total","02275","Wrangell City and Borough","AK",1301,"R",1,1,1,1,0.816295158,0,"_2024"
"Total","02275","Wrangell City and Borough","AK",1301,"B",1,1,1,1,0.815526518,0,"_2024"
"Total","02282","Yakutat City and Borough","AK",463,"R",1,1,1,1,0,0,"_2024"
"Total","02282","Yakutat City and Borough","AK",463,"B",1,1,1,1,0,0,"_2024"
"Total","02290","Yukon-Koyukuk Census Area","AK",6269,"R",1,1,1,1,0,0,"_2024"
"Total","02290","Yukon-Koyukuk Census Area","AK",6269,"B",1,1,1,1,0.000159515,0.000159515,"_2024"
"Total","04001","Apache","AZ",30902,"R",1,1,1,1,0.051226458,0.002168144,"_2024"
"Total","04001","Apache","AZ",30902,"B",1,1,1,1,0.051323539,0.002232865,"_2024"
"Total","04003","Cochise","AZ",67850,"R",1,1,1,1,0.680928519,0.087781872,"_2024"
"Total","04003","Cochise","AZ",67850,"B",1,1,1,1,0.278673545,0.088680914,"_2024"
"Total","04005","Coconino","AZ",78831,"R",1,1,1,1,0.576549834,0.019269069,"_2024"
"Total","04005","Coconino","AZ",78831,"B",1,1,1,1,0.141746267,0.007294085,"_2024"
"Total","04007","Gila","AZ",36324,"R",1,1,1,1,0.524171347,0.252753001,"_2024"
"Total","04007","Gila","AZ",36324,"B",1,1,1,1,0.520234556,0.24906398,"_2024"
"Total","04009","Graham","AZ",15926,"R",1,1,1,1,0.842772824,0.496044204,"_2024"
"Total","04009","Graham","AZ",15926,"B",1,1,1,1,0.842772824,0.496044204,"_2024"
"Total","04011","Greenlee","AZ",5493,"R",1,1,1,1,0.636810486,0.473147642,"_2024"
"Total","04011","Greenlee","AZ",5493,"B",1,1,1,1,0.636810486,0.473147642,"_2024"
"Total","04012","La Paz","AZ",15746,"R",1,1,1,1,0.035818621,0,"_2024"
"Total","04012","La Paz","AZ",15746,"B",1,1,1,1,0.005779246,0,"_2024"
"Total","04013","Maricopa","AZ",2093546,"R",1,1,1,0.999995701,0.922138324,0.75270904,"_2024"
"Total","04013","Maricopa","AZ",2093546,"B",1,1,1,0.999701463,0.560931071,0.386198345,"_2024"
"Total","04015","Mohave","AZ",143154,"R",1,1,1,0.999909189,0.850608436,0.70538022,"_2024"
"Total","04015","Mohave","AZ",143154,"B",1,1,1,0.999909189,0.727740755,0.700015368,"_2024"
"Total","04017","Navajo","AZ",64644,"R",1,1,1,1,0.572520265,0.01381412,"_2024"
"Total","04017","Navajo","AZ",64644,"B",1,1,1,0.980230184,0.572551204,0.014185385,"_2024"
"Total","04019","Pima","AZ",538194,"R",1,1,1,1,0.900565595,0.446326046,"_2024"
"Total","04019","Pima","AZ",538194,"B",1,1,1,0.99993311,0.614893514,0.205529976,"_2024"
"Total","04021","Pinal","AZ",212201,"R",1,1,1,1,0.903586694,0.536359395,"_2024"
"Total","04021","Pinal","AZ",212201,"B",1,1,1,1,0.794223401,0.430596463,"_2024"
"Total","04023","Santa Cruz","AZ",22417,"R",1,1,1,1,0.751081768,0.003167239,"_2024"
"Total","04023","Santa Cruz","AZ",22417,"B",1,1,1,1,0.751081768,0.003301066,"_2024"
"Total","04025","Yavapai","AZ",144845,"R",1,1,1,1,0.868473195,0.547426559,"_2024"
"Total","04025","Yavapai","AZ",144845,"B",1,1,1,1,0.755559391,0.540550243,"_2024"
"Total","04027","Yuma","AZ",110194,"R",1,1,1,1,0.971949471,0.662195764,"_2024"
"Total","04027","Yuma","AZ",110194,"B",1,1,1,1,0.778835508,0.594369929,"_2024"
"Total","05001","Arkansas","AR",10610,"R",1,1,1,1,0.782469369,0.711121583,"_2024"
"Total","05001","Arkansas","AR",10610,"B",1,1,1,1,0.663524976,0.585673893,"_2024"
"Total","05003","Ashley","AR",11910,"R",1,1,1,0.999916037,0.758690176,0.758690176,"_2024"
"Total","05003","Ashley","AR",11910,"B",1,1,1,1,0.773131822,0.773131822,"_2024"
"Total","05005","Baxter","AR",26493,"R",1,1,1,1,0.982825652,0.859057109,"_2024"
"Total","05005","Baxter","AR",26493,"B",1,1,1,1,0.896048013,0.888196882,"_2024"
"Total","05007","Benton","AR",141793,"R",1,1,1,0.999936527,0.789545323,0.670893486,"_2024"
"Total","05007","Benton","AR",141793,"B",1,1,1,0.999851897,0.511710733,0.480383376,"_2024"
"Total","05009","Boone","AR",20119,"R",1,1,1,1,0.571847507,0.320642179,"_2024"
"Total","05009","Boone","AR",20119,"B",1,1,1,1,0.370147622,0.336448134,"_2024"
"Total","05011","Bradley","AR",6540,"R",1,1,1,1,0.924923547,0.387461774,"_2024"
"Total","05011","Bradley","AR",6540,"B",1,1,1,1,0.93058104,0.610397554,"_2024"
"Total","05013","Calhoun","AR",3335,"R",1,1,1,1,0.888455772,0.888455772,"_2024"
"Total","05013","Calhoun","AR",3335,"B",1,1,1,1,0.893553223,0.893553223,"_2024"
"Total","05015","Carroll","AR",17415,"R",1,1,1,0.999253517,0.467126041,0.200057422,"_2024"
"Total","05015","Carroll","AR",17415,"B",1,1,1,0.999196095,0.283204134,0.215618719,"_2024"
"Total","05017","Chicot","AR",6488,"R",1,1,1,1,0.173088779,0.173088779,"_2024"
"Total","05017","Chicot","AR",6488,"B",1,1,1,0.999691739,0.173088779,0.173088779,"_2024"
"Total","05019","Clark","AR",12556,"R",1,1,1,1,0.949904428,0.891287034,"_2024"
"Total","05019","Clark","AR",12556,"B",1,1,1,1,0.961532335,0.953488372,"_2024"
"Total","05021","Clay","AR",9253,"R",1,1,1,1,0.909434778,0.784502324,"_2024"
"Total","05021","Clay","AR",9253,"B",1,1,1,1,0.616340646,0.345185345,"_2024"
"Total","05023","Cleburne","AR",19060,"R",1,1,1,1,0.809863589,0.673032529,"_2024"
"Total","05023","Cleburne","AR",19060,"B",1,1,1,1,0.27019937,0.225603358,"_2024"
"Total","05025","Cleveland","AR",4814,"R",1,1,1,0.999376818,0.345243041,0.345243041,"_2024"
"Total","05025","Cleveland","AR",4814,"B",1,1,1,0.999376818,0.345243041,0.345243041,"_2024"
"Total","05027","Columbia","AR",13060,"R",1,1,1,1,0.783154671,0.323353752,"_2024"
"Total","05027","Columbia","AR",13060,"B",1,1,1,1,0.580704441,0.525574273,"_2024"
"Total","05029","Conway","AR",12009,"R",1,1,1,0.999833458,0.586643351,0.392205846,"_2024"
"Total","05029","Conway","AR",12009,"B",1,1,1,0.999833458,0.427429428,0.388292114,"_2024"
"Total","05031","Craighead","AR",56776,"R",1,1,1,1,0.938178103,0.701035649,"_2024"
"Total","05031","Craighead","AR",56776,"B",1,1,1,1,0.842574327,0.741387206,"_2024"
"Total","05033","Crawford","AR",29995,"R",1,1,1,1,0.890915153,0.709751625,"_2024"
"Total","05033","Crawford","AR",29995,"B",1,1,1,1,0.27057843,0.254142357,"_2024"
"Total","05035","Crittenden","AR",24515,"R",1,1,1,1,0.986538854,0.712869672,"_2024"
"Total","05035","Crittenden","AR",24515,"B",1,1,1,1,0.986538854,0.712869672,"_2024"
"Total","05037","Cross","AR",9286,"R",1,1,1,1,0.972539306,0.850850743,"_2024"
"Total","05037","Cross","AR",9286,"B",1,1,1,1,0.961662718,0.806052121,"_2024"
"Total","05039","Dallas","AR",4615,"R",1,1,1,1,0.583315276,0.583315276,"_2024"
"Total","05039","Dallas","AR",4615,"B",1,1,1,1,0.583315276,0.583315276,"_2024"
"Total","05041","Desha","AR",6975,"R",1,1,1,1,0.334336918,0.153261649,"_2024"
"Total","05041","Desha","AR",6975,"B",1,1,1,1,0.334336918,0.153261649,"_2024"
"Total","05043","Drew","AR",10090,"R",1,1,1,0.999900892,0.620911794,0.620911794,"_2024"
"Total","05043","Drew","AR",10090,"B",1,1,1,0.999900892,0.652725471,0.652725471,"_2024"
"Total","05045","Faulkner","AR",61358,"R",1,1,1,0.999983702,0.812200528,0.79120897,"_2024"
"Total","05045","Faulkner","AR",61358,"B",1,1,1,0.999918511,0.651471691,0.64852179,"_2024"
"Total","05047","Franklin","AR",9823,"R",1,1,1,1,0.823780922,0.82367912,"_2024"
"Total","05047","Franklin","AR",9823,"B",1,1,1,0.998778377,0.358342665,0.358139061,"_2024"
"Total","05049","Fulton","AR",7909,"R",1,1,1,1,0.984574535,0.900366671,"_2024"
"Total","05049","Fulton","AR",7909,"B",1,1,1,1,0.984574535,0.900366671,"_2024"
"Total","05051","Garland","AR",60365,"R",1,1,1,0.999983434,0.930555786,0.363472211,"_2024"
"Total","05051","Garland","AR",60365,"B",1,1,1,0.999983434,0.852795494,0.450741324,"_2024"
"Total","05053","Grant","AR",9473,"R",1,1,1,1,0.906998839,0.906893276,"_2024"
"Total","05053","Grant","AR",9473,"B",1,1,1,1,0.896231394,0.896125831,"_2024"
"Total","05055","Greene","AR",22457,"R",1,1,1,1,0.997818052,0.997818052,"_2024"
"Total","05055","Greene","AR",22457,"B",1,1,1,1,0.989936323,0.989936323,"_2024"
"Total","05057","Hempstead","AR",12013,"R",1,1,1,1,0.855406643,0.852742862,"_2024"
"Total","05057","Hempstead","AR",12013,"B",1,1,1,1,0.855739615,0.853159078,"_2024"
"Total","05059","Hot Spring","AR",16703,"R",1,1,1,1,0.984194456,0.953002455,"_2024"
"Total","05059","Hot Spring","AR",16703,"B",1,1,1,1,0.956474885,0.953002455,"_2024"
"Total","05061","Howard","AR",7275,"R",1,1,1,1,0.673127148,0.673127148,"_2024"
